Timestamp,채널 이용 방식,직업/교육,활동 지역,주요 관심 분야,지난 3개월간 평균 채널 방문 빈도
7/16/2021 11:26,로그인 사용자,물리학 석사과정생,북미,"기초 물리학 (고교/대학 교육과정), 수리물리학, 생물리학, 전산물리학, 통계물리학","주 1회 이상, 일 1회 미만"
7/16/2021 12:47,로그인 사용자,일반고,국내,"기초 물리학 (고교/대학 교육과정), 고에너지 물리학, 생물리학, 천문학","주 1회 이상, 일 1회 미만"
7/16/2021 13:03,로그인 사용자,과학고/영재고 등 특성학교,국내,"기초 물리학 (고교/대학 교육과정), 고에너지 물리학, 고체물리학, 입자물리학, 응집물리학, 전산물리학, 통계물리학, 기타 관련 공학 (양자컴퓨터/재료공학/전자공학/유체역학 등)",일 1회 이상
7/16/2021 13:27,로그인 사용자,물리학 박사과정생,유럽,"고체물리학, 응집물리학, 원자/분자/광 물리학 (AMO), 전산물리학, 통계물리학, 화학물리학",일 1회 이상
7/16/2021 14:14,로그인 사용자,학부생 (물리학과),국내,"생물리학, 양자중력/끈이론, 입자물리학, 천문학","주 1회 이상, 일 1회 미만"
7/16/2021 14:29,비로그인 사용자,학부생 (기타 이공계),국내,"기초 물리학 (고교/대학 교육과정), 핵물리학, 기타 관련 공학 (양자컴퓨터/재료공학/전자공학/유체역학 등)",일 1회 이상
7/16/2021 16:18,로그인 사용자,연구원 (사기업),국내,"기초 물리학 (고교/대학 교육과정), 고체물리학, 반도체물리학, 기타 관련 공학 (양자컴퓨터/재료공학/전자공학/유체역학 등)","주 1회 이상, 일 1회 미만"
7/16/2021 18:05,로그인 사용자,물리학 박사과정생,유럽,"기초 물리학 (고교/대학 교육과정), 고체물리학, 반도체물리학, 응집물리학, 전산물리학",일 1회 이상
7/16/2021 19:18,로그인 사용자,학부생 (물리학과),국내,"기초 물리학 (고교/대학 교육과정), 고에너지 물리학, 고체물리학, 물리교육학, 수리물리학, 입자물리학, 응집물리학, 전산물리학, 천체물리학, 통계물리학, 기타 관련 공학 (양자컴퓨터/재료공학/전자공학/유체역학 등)",일 1회 이상
7/16/2021 20:02,비로그인 사용자,학부생 (기타 이공계),국내,화학물리학,일 1회 이상
7/16/2021 20:18,로그인 사용자,학부생 (기타 이공계),국내,"기초 물리학 (고교/대학 교육과정), 수리물리학, 응집물리학, 기타 관련 공학 (양자컴퓨터/재료공학/전자공학/유체역학 등)","주 1회 이상, 일 1회 미만"
7/16/2021 20:27,로그인 사용자,일반고,국내,기타 관련 공학 (양자컴퓨터/재료공학/전자공학/유체역학 등),"주 1회 이상, 일 1회 미만"
7/16/2021 21:23,로그인 사용자,과학고/영재고 등 특성학교,국내,수리물리학,일 1회 이상
7/16/2021 21:50,비로그인 사용자,물리학 박사과정생,국내,"고에너지 물리학, 입자물리학, 핵물리학","주 1회 이상, 일 1회 미만"
7/17/2021 0:44,비로그인 사용자,학부생 (물리학과),유럽,"기초 물리학 (고교/대학 교육과정), 수리물리학, 양자중력/끈이론, 입자물리학","주 1회 이상, 일 1회 미만"
7/17/2021 2:57,로그인 사용자,일반고,국내,"기초 물리학 (고교/대학 교육과정), 기타 관련 공학 (양자컴퓨터/재료공학/전자공학/유체역학 등)","월 1회 이상, 주 1회 미만"
7/17/2021 9:39,로그인 사용자,학부생 (기타 이공계),국내,"기초 물리학 (고교/대학 교육과정), 입자물리학, 원자 /분자/광 물리학 (AMO), 전산물리학, 기타 관련 공학 (양자컴퓨터/재료공학/전자공학/유체역학 등)","주 1회 이상, 일 1회 미만"
7/17/2021 14:01,로그인 사용자,연구원 (사기업),국내,"기초 물리학 (고교/대학 교육과정), 물리교육학, 천문학, 천체물리학","주 1회 이상, 일 1회 미만"
7/18/2021 5:39,로그인 사용자,고등학생 미만,국내,"기초 물리학 (고교/대학 교육과정), 화학물리학",일 1회 이상
7/19/2021 8:12,비로그인 사용자,일반고,국내,기초 물리학 (고교/대학 교육과정),"월 1회 이상, 주 1회 미만"
7/20/2021 8:08,로그인 사용자,학부생 (기타 이공계),국내,"고체물리학, 반도체물리학",일 1회 이상
7/21/2021 6:38,비로그인 사용자,고등학생 미만,국내,"기초 물리학 (고교/대학 교육과정), 양자중력/끈이론, 천문학, 핵물리학",일 1회 이상
7/22/2021 12:20,로그인 사용자,일반고,국내,기초 물리학 (고교/대학 교육과정),"주 1회 이상, 일 1회 미만"
7/23/2021 0:52,로그인 사용자,고등학생 미만,국내,"기초 물리학 (고교/대학 교육과정), 입자물리학, 원자/분자/광 물리학 (AMO), 핵물리학",일 1회 이상
7/23/2021 8:35,비로그인 사용자,대학원생 (기타),일본/중국,"고체물리학, 통계물리학, 기타 관련 공학 (양자컴퓨터/재료공학/전자공학/유체역학 등)","주 1회 이상, 일 1회 미만"
7/25/2021 5:41,로그인 사용자,일반고,국내,"기초 물리학 (고교/대학 교육과정), 천문학, 천체물리학","주 1회 이상, 일 1회 미만"
7/28/2021 21:35,로그인 사용자,학부생 (물리학과),국내,"수리물리학, 양자중력/끈이론, 입자물리학, 천체물리학, 플라즈마 물리학","주 1회 이상, 일 1회 미만"
7/29/2021 21:39,로그인 사용자,학부생 (물리학과),국내,반도체물리학,"주 1회 이상, 일 1회 미만"
